Zeit (TT-MM hh:mm),Wärme gesamt (kW),Kälte gesamt (kW),Strom gesamt (kW),Zone 1-Raumwärme (kW),Zone 1-Trinkwarmwasser (kW),Zone 1-Klimatisierung (kW),Zone 1-Prozesskälte (kW),Zone 1-Nutzerstrom (kW),Zone 1-Elektromobilität (kW)
06-06 22:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
06-06 23:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
07-06 00:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
07-06 01:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
07-06 02:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
07-06 03:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
07-06 04:00,0.1,0.0,0.0,0.0,0.10000000149011612,0,0,0,0
07-06 05:00,0.7,0.0,0.0,0.0,0.699999988079071,0,0,0,0
07-06 06:00,2.2,0.0,0.0,0.0,2.200000047683716,0,0,0,0
07-06 07:00,4.8,0.0,0.0,0.0,4.800000190734863,0,0,0,0
07-06 08:00,8.6,0.0,0.0,0.0,8.600000381469727,0,0,0,0
07-06 09:00,11.8,0.0,0.0,0.0,11.800000190734863,0,0,0,0
07-06 10:00,13.6,0.0,0.0,0.0,13.600000381469727,0,0,0,0
07-06 11:00,13.8,0.0,0.0,0.0,13.800000190734863,0,0,0,0
07-06 12:00,13.1,0.0,0.0,0.0,13.100000381469727,0,0,0,0
07-06 13:00,13.1,0.0,0.0,0.0,13.100000381469727,0,0,0,0
07-06 14:00,10.8,0.0,0.0,0.0,10.800000190734863,0,0,0,0
07-06 15:00,7.9,0.0,0.0,0.0,7.900000095367432,0,0,0,0
07-06 16:00,6.1,0.0,0.0,0.0,6.0,0,0,0,0
07-06 17:00,1.6,0.0,0.0,0.0,1.600000023841858,0,0,0,0
07-06 18:00,0.7,0.0,0.0,0.0,0.699999988079071,0,0,0,0
07-06 19:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
07-06 20:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
07-06 21:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
07-06 22:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
07-06 23:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
08-06 00:00,0.6,0.0,0.0,0.6000000238418579,0.0,0,0,0,0
08-06 01:00,0.5,0.0,0.0,0.5,0.0,0,0,0,0
08-06 02:00,0.5,0.0,0.0,0.5,0.0,0,0,0,0
08-06 03:00,13.2,0.0,0.0,13.199999809265137,0.0,0,0,0,0
08-06 04:00,12.5,0.0,0.0,12.399999618530273,0.10000000149011612,0,0,0,0
08-06 05:00,1.5,0.0,0.0,0.800000011920929,0.699999988079071,0,0,0,0
08-06 06:00,3.4,0.0,0.0,1.100000023841858,2.299999952316284,0,0,0,0
08-06 07:00,6.4,0.0,0.0,1.5,4.900000095367432,0,0,0,0
08-06 08:00,11.3,0.0,0.0,2.4000000953674316,9.0,0,0,0,0
08-06 09:00,15.5,0.0,0.0,2.799999952316284,12.699999809265137,0,0,0,0
08-06 10:00,15.1,0.0,0.0,2.5,12.600000381469727,0,0,0,0
08-06 11:00,15.8,0.0,0.0,2.200000047683716,13.600000381469727,0,0,0,0
08-06 12:00,16.3,0.0,0.0,2.0999999046325684,14.199999809265137,0,0,0,0
08-06 13:00,14.0,0.0,0.0,1.7999999523162842,12.199999809265137,0,0,0,0
08-06 14:00,11.8,0.0,0.0,1.7000000476837158,10.100000381469727,0,0,0,0
08-06 15:00,9.4,0.0,0.0,1.600000023841858,7.800000190734863,0,0,0,0
08-06 16:00,7.6,0.0,0.0,1.5,6.099999904632568,0,0,0,0
08-06 17:00,3.0,0.0,0.0,1.399999976158142,1.600000023841858,0,0,0,0
08-06 18:00,2.1,0.0,0.0,1.399999976158142,0.699999988079071,0,0,0,0
08-06 19:00,1.1,0.0,0.0,1.100000023841858,0.0,0,0,0,0
08-06 20:00,0.8,0.0,0.0,0.800000011920929,0.0,0,0,0,0
08-06 21:00,0.7,0.0,0.0,0.699999988079071,0.0,0,0,0,0
08-06 22:00,0.6,0.0,0.0,0.6000000238418579,0.0,0,0,0,0
08-06 23:00,0.6,0.0,0.0,0.6000000238418579,0.0,0,0,0,0
09-06 00:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
09-06 01:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
09-06 02:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
09-06 03:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
09-06 04:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
09-06 05:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
09-06 06:00,0.3,0.0,0.0,0.0,0.30000001192092896,0,0,0,0
09-06 07:00,0.4,0.0,0.0,0.0,0.4000000059604645,0,0,0,0
09-06 08:00,1.0,0.0,0.0,0.0,1.0,0,0,0,0
09-06 09:00,1.2,0.0,0.0,0.0,1.2000000476837158,0,0,0,0
09-06 10:00,1.4,0.0,0.0,0.0,1.399999976158142,0,0,0,0
09-06 11:00,1.4,0.0,0.0,0.0,1.399999976158142,0,0,0,0
09-06 12:00,1.2,0.0,0.0,0.0,1.2000000476837158,0,0,0,0
09-06 13:00,1.3,0.0,0.0,0.0,1.2999999523162842,0,0,0,0
09-06 14:00,1.0,0.0,0.0,0.0,1.0,0,0,0,0
09-06 15:00,0.8,0.0,0.0,0.0,0.800000011920929,0,0,0,0
09-06 16:00,0.7,0.0,0.0,0.0,0.699999988079071,0,0,0,0
09-06 17:00,0.1,0.0,0.0,0.0,0.10000000149011612,0,0,0,0
09-06 18:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
09-06 19:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
09-06 20:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
09-06 21:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
09-06 22:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
09-06 23:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
10-06 00:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
10-06 01:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
10-06 02:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
10-06 03:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
10-06 04:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
10-06 05:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
10-06 06:00,0.1,0.0,0.0,0.0,0.10000000149011612,0,0,0,0
10-06 07:00,0.1,0.0,0.0,0.0,0.10000000149011612,0,0,0,0
10-06 08:00,0.3,0.0,0.0,0.0,0.30000001192092896,0,0,0,0
10-06 09:00,0.4,0.0,0.0,0.0,0.4000000059604645,0,0,0,0
10-06 10:00,0.4,0.0,0.0,0.0,0.4000000059604645,0,0,0,0
10-06 11:00,0.4,0.0,0.0,0.0,0.4000000059604645,0,0,0,0
10-06 12:00,0.4,0.0,0.0,0.0,0.4000000059604645,0,0,0,0
10-06 13:00,0.4,0.0,0.0,0.0,0.4000000059604645,0,0,0,0
10-06 14:00,0.3,0.0,0.0,0.0,0.30000001192092896,0,0,0,0
10-06 15:00,0.3,0.0,0.0,0.0,0.30000001192092896,0,0,0,0
10-06 16:00,0.2,0.0,0.0,0.0,0.20000000298023224,0,0,0,0
10-06 17:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
10-06 18:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
10-06 19:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
10-06 20:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
10-06 21:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
10-06 22:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
10-06 23:00,0.0,0.0,0.0,0.0,0.0,0,0,0,0
11-06 00:00,0.5,0.0,0.0,0.5,0.0,0,0,0,0
11-06 01:00,0.6,0.0,0.0,0.6000000238418579,0.0,0,0,0,0
11-06 02:00,0.5,0.0,0.0,0.5,0.0,0,0,0,0
11-06 03:00,0.5,0.0,0.0,0.5,0.0,0,0,0,0
11-06 04:00,13.5,0.0,0.0,13.399999618530273,0.10000000149011612,0,0,0,0
11-06 05:00,14.2,0.0,0.0,13.5,0.699999988079071,0,0,0,0
11-06 06:00,3.7,0.0,0.0,1.2000000476837158,2.4000000953674316,0,0,0,0
11-06 07:00,6.8,0.0,0.0,1.600000023841858,5.199999809265137,0,0,0,0
11-06 08:00,11.0,0.0,0.0,2.299999952316284,8.699999809265137,0,0,0,0
11-06 09:00,14.4,0.0,0.0,2.5999999046325684,11.800000190734863,0,0,0,0
11-06 10:00,16.0,0.0,0.0,2.700000047683716,13.300000190734863,0,0,0,0
11-06 11:00,15.4,0.0,0.0,2.0999999046325684,13.300000190734863,0,0,0,0
11-06 12:00,14.7,0.0,0.0,1.899999976158142,12.800000190734863,0,0,0,0
11-06 13:00,14.3,0.0,0.0,1.7999999523162842,12.5,0,0,0,0
11-06 14:00,12.0,0.0,0.0,1.7000000476837158,10.300000190734863,0,0,0,0
11-06 15:00,9.4,0.0,0.0,1.600000023841858,7.800000190734863,0,0,0,0
11-06 16:00,7.1,0.0,0.0,1.399999976158142,5.699999809265137,0,0,0,0
11-06 17:00,3.1,0.0,0.0,1.399999976158142,1.7000000476837158,0,0,0,0
11-06 18:00,2.0,0.0,0.0,1.2999999523162842,0.699999988079071,0,0,0,0
11-06 19:00,1.1,0.0,0.0,1.100000023841858,0.0,0,0,0,0
11-06 20:00,0.8,0.0,0.0,0.800000011920929,0.0,0,0,0,0
11-06 21:00,0.7,0.0,0.0,0.699999988079071,0.0,0,0,0,0
11-06 22:00,0.6,0.0,0.0,0.6000000238418579,0.0,0,0,0,0
11-06 23:00,0.6,0.0,0.0,0.6000000238418579,0.0,0,0,0,0
12-06 00:00,1.6,0.0,0.0,1.600000023841858,0.0,0,0,0,0
12-06 01:00,13.9,0.0,0.0,13.899999618530273,0.0,0,0,0,0
12-06 02:00,26.0,0.0,0.0,26.0,0.0,0,0,0,0
12-06 03:00,14.9,0.0,0.0,14.899999618530273,0.0,0,0,0,0
12-06 04:00,27.9,0.0,0.0,27.799999237060547,0.10000000149011612,0,0,0,0
12-06 05:00,3.0,0.0,0.0,2.4000000953674316,0.699999988079071,0,0,0,0
12-06 06:00,5.9,0.0,0.0,3.5,2.4000000953674316,0,0,0,0
12-06 07:00,10.2,0.0,0.0,4.900000095367432,5.300000190734863,0,0,0,0
12-06 08:00,14.2,0.0,0.0,6.199999809265137,8.0,0,0,0,0
12-06 09:00,20.2,0.0,0.0,8.100000381469727,12.100000381469727,0,0,0,0
12-06 10:00,22.4,0.0,0.0,8.399999618530273,14.0,0,0,0,0
12-06 11:00,20.5,0.0,0.0,6.699999809265137,13.800000190734863,0,0,0,0
12-06 12:00,20.1,0.0,0.0,6.199999809265137,13.899999618530273,0,0,0,0
12-06 13:00,19.2,0.0,0.0,5.800000190734863,13.399999618530273,0,0,0,0
12-06 14:00,15.0,0.0,0.0,5.0,10.0,0,0,0,0
12-06 15:00,12.5,0.0,0.0,4.699999809265137,7.800000190734863,0,0,0,0
12-06 16:00,11.0,0.0,0.0,4.699999809265137,6.300000190734863,0,0,0,0
12-06 17:00,5.8,0.0,0.0,4.199999809265137,1.600000023841858,0,0,0,0
12-06 18:00,4.9,0.0,0.0,4.199999809265137,0.699999988079071,0,0,0,0
12-06 19:00,3.5,0.0,0.0,3.5,0.0,0,0,0,0
12-06 20:00,2.4,0.0,0.0,2.4000000953674316,0.0,0,0,0,0
12-06 21:00,2.1,0.0,0.0,2.0999999046325684,0.0,0,0,0,0
12-06 22:00,1.8,0.0,0.0,1.7999999523162842,0.0,0,0,0,0
12-06 23:00,1.7,0.0,0.0,1.7000000476837158,0.0,0,0,0,0
13-06 00:00,0.6,0.0,0.0,0.6000000238418579,0.0,0,0,0,0
13-06 01:00,0.5,0.0,0.0,0.5,0.0,0,0,0,0
