Zeit (TT-MM hh:mm),Wärme gesamt (kW),Kälte gesamt (kW),Strom gesamt (kW),Zone 1-Raumwärme (kW),Zone 1-Trinkwarmwasser (kW),Zone 1-Klimatisierung (kW),Zone 1-Prozesskälte (kW),Zone 1-Nutzerstrom (kW),Zone 1-Elektromobilität (kW)
25-05 09:00,18.8,0.0,0.0,12.300000190734863,6.5,0,0,0,0
25-05 10:00,18.0,0.0,0.0,11.0,7.0,0,0,0,0
25-05 11:00,19.5,0.0,0.0,11.699999809265137,7.800000190734863,0,0,0,0
25-05 12:00,17.5,0.0,0.0,10.899999618530273,6.599999904632568,0,0,0,0
25-05 13:00,18.8,0.0,0.0,11.899999618530273,6.900000095367432,0,0,0,0
25-05 14:00,16.9,0.0,0.0,10.899999618530273,6.0,0,0,0,0
25-05 15:00,16.1,0.0,0.0,10.699999809265137,5.400000095367432,0,0,0,0
25-05 16:00,15.5,0.0,0.0,11.300000190734863,4.199999809265137,0,0,0,0
25-05 17:00,13.8,0.0,0.0,10.800000190734863,3.0,0,0,0,0
25-05 18:00,11.8,0.0,0.0,9.800000190734863,2.0,0,0,0,0
25-05 19:00,12.5,0.0,0.0,10.899999618530273,1.600000023841858,0,0,0,0
25-05 20:00,10.9,0.0,0.0,9.800000190734863,1.2000000476837158,0,0,0,0
25-05 21:00,10.1,0.0,0.0,9.300000190734863,0.800000011920929,0,0,0,0
25-05 22:00,17.5,0.0,0.0,16.700000762939453,0.800000011920929,0,0,0,0
25-05 23:00,23.9,0.0,0.0,23.100000381469727,0.800000011920929,0,0,0,0
26-05 00:00,21.8,0.0,0.0,20.799999237060547,0.8999999761581421,0,0,0,0
26-05 01:00,27.9,0.0,0.0,27.0,0.8999999761581421,0,0,0,0
26-05 02:00,33.1,0.0,0.0,32.400001525878906,0.800000011920929,0,0,0,0
26-05 03:00,35.5,0.0,0.0,34.599998474121094,0.8999999761581421,0,0,0,0
26-05 04:00,35.5,0.0,0.0,34.599998474121094,0.800000011920929,0,0,0,0
26-05 05:00,29.2,0.0,0.0,28.299999237060547,0.8999999761581421,0,0,0,0
26-05 06:00,21.4,0.0,0.0,20.600000381469727,0.800000011920929,0,0,0,0
26-05 07:00,7.9,0.0,0.0,7.0,0.8999999761581421,0,0,0,0
26-05 08:00,7.7,0.0,0.0,6.699999809265137,1.0,0,0,0,0
26-05 09:00,7.8,0.0,0.0,6.400000095367432,1.399999976158142,0,0,0,0
26-05 10:00,8.4,0.0,0.0,6.400000095367432,2.0,0,0,0,0
26-05 11:00,8.8,0.0,0.0,6.599999904632568,2.200000047683716,0,0,0,0
26-05 12:00,8.4,0.0,0.0,6.400000095367432,2.0,0,0,0,0
26-05 13:00,7.0,0.0,0.0,5.400000095367432,1.600000023841858,0,0,0,0
