Zeit (TT-MM hh:mm),Wärme gesamt (kW),Kälte gesamt (kW),Strom gesamt (kW),Zone 1-Raumwärme (kW),Zone 1-Trinkwarmwasser (kW),Zone 1-Klimatisierung (kW),Zone 1-Prozesskälte (kW),Zone 1-Nutzerstrom (kW),Zone 1-Elektromobilität (kW)
27-02 07:00,309.6,0.0,0.0,305.0,4.599999904632568,0,0,0,0
27-02 08:00,353.4,0.0,0.0,345.3999938964844,8.0,0,0,0,0
27-02 09:00,290.6,0.0,0.0,280.6000061035156,10.100000381469727,0,0,0,0
27-02 10:00,278.1,0.0,0.0,266.1000061035156,12.0,0,0,0,0
27-02 11:00,254.2,0.0,0.0,241.89999389648438,12.300000190734863,0,0,0,0
27-02 12:00,238.3,0.0,0.0,226.39999389648438,11.899999618530273,0,0,0,0
27-02 13:00,225.2,0.0,0.0,213.8000030517578,11.399999618530273,0,0,0,0
27-02 14:00,197.6,0.0,0.0,189.6999969482422,7.900000095367432,0,0,0,0
27-02 15:00,199.2,0.0,0.0,194.0,5.199999809265137,0,0,0,0
27-02 16:00,183.4,0.0,0.0,181.8000030517578,1.600000023841858,0,0,0,0
27-02 17:00,146.9,0.0,0.0,146.3000030517578,0.6000000238418579,0,0,0,0
27-02 18:00,154.7,0.0,0.0,154.6999969482422,0.0,0,0,0,0
27-02 19:00,153.2,0.0,0.0,153.1999969482422,0.0,0,0,0,0
27-02 20:00,191.0,0.0,0.0,191.0,0.0,0,0,0,0
27-02 21:00,188.6,0.0,0.0,188.60000610351562,0.0,0,0,0,0
27-02 22:00,184.9,0.0,0.0,184.89999389648438,0.0,0,0,0,0
27-02 23:00,196.5,0.0,0.0,196.5,0.0,0,0,0,0
28-02 00:00,219.8,0.0,0.0,219.8000030517578,0.0,0,0,0,0
28-02 01:00,224.6,0.0,0.0,224.60000610351562,0.0,0,0,0,0
28-02 02:00,233.7,0.0,0.0,233.6999969482422,0.0,0,0,0,0
28-02 03:00,228.5,0.0,0.0,228.5,0.0,0,0,0,0
28-02 04:00,259.2,0.0,0.0,259.1000061035156,0.10000000149011612,0,0,0,0
28-02 05:00,311.0,0.0,0.0,310.3999938964844,0.6000000238418579,0,0,0,0
28-02 06:00,373.6,0.0,0.0,371.3999938964844,2.200000047683716,0,0,0,0
28-02 07:00,477.2,0.0,0.0,472.79998779296875,4.400000095367432,0,0,0,0
28-02 08:00,482.1,0.0,0.0,474.6000061035156,7.5,0,0,0,0
