Zeit (TT-MM hh:mm),Wärme gesamt (kW),Kälte gesamt (kW),Strom gesamt (kW),Zone 1-Raumwärme (kW),Zone 1-Trinkwarmwasser (kW),Zone 1-Klimatisierung (kW),Zone 1-Prozesskälte (kW),Zone 1-Nutzerstrom (kW),Zone 1-Elektromobilität (kW)
06-11 21:00,137.4,0.0,0.0,129.1999969482422,8.199999809265137,0,0,0,0
06-11 22:00,83.0,0.0,0.0,77.0,6.0,0,0,0,0
06-11 23:00,80.7,0.0,0.0,75.5,5.199999809265137,0,0,0,0
07-11 00:00,76.3,0.0,0.0,71.69999694824219,4.599999904632568,0,0,0,0
07-11 01:00,85.7,0.0,0.0,80.9000015258789,4.800000190734863,0,0,0,0
07-11 02:00,80.1,0.0,0.0,77.5,2.5999999046325684,0,0,0,0
07-11 03:00,78.4,0.0,0.0,75.9000015258789,2.5,0,0,0,0
07-11 04:00,100.9,0.0,0.0,96.4000015258789,4.5,0,0,0,0
07-11 05:00,153.4,0.0,0.0,140.60000610351562,12.800000190734863,0,0,0,0
07-11 06:00,225.4,0.0,0.0,189.10000610351562,36.29999923706055,0,0,0,0
07-11 07:00,215.8,0.0,0.0,178.39999389648438,37.400001525878906,0,0,0,0
07-11 08:00,208.0,0.0,0.0,169.60000610351562,38.400001525878906,0,0,0,0
07-11 09:00,195.7,0.0,0.0,160.60000610351562,35.099998474121094,0,0,0,0
07-11 10:00,174.5,0.0,0.0,148.3000030517578,26.200000762939453,0,0,0,0
07-11 11:00,154.3,0.0,0.0,131.8000030517578,22.399999618530273,0,0,0,0
07-11 12:00,144.5,0.0,0.0,124.0,20.600000381469727,0,0,0,0
07-11 13:00,142.3,0.0,0.0,121.5,20.799999237060547,0,0,0,0
07-11 14:00,133.4,0.0,0.0,114.5,18.899999618530273,0,0,0,0
07-11 15:00,129.8,0.0,0.0,112.19999694824219,17.600000381469727,0,0,0,0
07-11 16:00,137.8,0.0,0.0,121.0999984741211,16.700000762939453,0,0,0,0
07-11 17:00,174.6,0.0,0.0,157.60000610351562,17.0,0,0,0,0
07-11 18:00,177.3,0.0,0.0,162.10000610351562,15.199999809265137,0,0,0,0
07-11 19:00,167.2,0.0,0.0,154.0,13.199999809265137,0,0,0,0
07-11 20:00,178.3,0.0,0.0,165.89999389648438,12.399999618530273,0,0,0,0
07-11 21:00,171.1,0.0,0.0,162.5,8.600000381469727,0,0,0,0
07-11 22:00,92.5,0.0,0.0,86.69999694824219,5.800000190734863,0,0,0,0
07-11 23:00,78.1,0.0,0.0,73.19999694824219,4.900000095367432,0,0,0,0
08-11 00:00,76.2,0.0,0.0,71.4000015258789,4.800000190734863,0,0,0,0
08-11 01:00,86.1,0.0,0.0,81.5,4.599999904632568,0,0,0,0
08-11 02:00,78.6,0.0,0.0,75.9000015258789,2.700000047683716,0,0,0,0
08-11 03:00,81.8,0.0,0.0,79.0,2.799999952316284,0,0,0,0
08-11 04:00,80.4,0.0,0.0,76.19999694824219,4.199999809265137,0,0,0,0
08-11 05:00,131.5,0.0,0.0,118.0,13.600000381469727,0,0,0,0
08-11 06:00,161.5,0.0,0.0,127.69999694824219,33.79999923706055,0,0,0,0
08-11 07:00,166.9,0.0,0.0,127.9000015258789,39.0,0,0,0,0
08-11 08:00,139.6,0.0,0.0,105.0999984741211,34.5,0,0,0,0
08-11 09:00,133.4,0.0,0.0,99.5,33.900001525878906,0,0,0,0
08-11 10:00,108.7,0.0,0.0,83.69999694824219,25.0,0,0,0,0
08-11 11:00,115.2,0.0,0.0,90.5,24.700000762939453,0,0,0,0
08-11 12:00,105.0,0.0,0.0,83.80000305175781,21.200000762939453,0,0,0,0
08-11 13:00,102.3,0.0,0.0,82.0999984741211,20.200000762939453,0,0,0,0
08-11 14:00,92.4,0.0,0.0,73.30000305175781,19.100000381469727,0,0,0,0
08-11 15:00,102.7,0.0,0.0,83.80000305175781,18.899999618530273,0,0,0,0
08-11 16:00,100.3,0.0,0.0,82.9000015258789,17.399999618530273,0,0,0,0
08-11 17:00,96.7,0.0,0.0,80.80000305175781,15.899999618530273,0,0,0,0
08-11 18:00,103.1,0.0,0.0,88.19999694824219,14.899999618530273,0,0,0,0
08-11 19:00,101.4,0.0,0.0,88.5,12.899999618530273,0,0,0,0
08-11 20:00,106.1,0.0,0.0,94.80000305175781,11.300000190734863,0,0,0,0
08-11 21:00,104.8,0.0,0.0,96.5999984741211,8.199999809265137,0,0,0,0
08-11 22:00,52.9,0.0,0.0,46.79999923706055,6.099999904632568,0,0,0,0
08-11 23:00,48.4,0.0,0.0,43.400001525878906,5.0,0,0,0,0
09-11 00:00,43.1,0.0,0.0,38.79999923706055,4.300000190734863,0,0,0,0
09-11 01:00,58.4,0.0,0.0,53.599998474121094,4.800000190734863,0,0,0,0
09-11 02:00,56.7,0.0,0.0,53.900001525878906,2.799999952316284,0,0,0,0
09-11 03:00,55.5,0.0,0.0,52.900001525878906,2.5999999046325684,0,0,0,0
09-11 04:00,64.2,0.0,0.0,59.599998474121094,4.599999904632568,0,0,0,0
09-11 05:00,100.4,0.0,0.0,87.5,12.899999618530273,0,0,0,0
09-11 06:00,161.4,0.0,0.0,123.5999984741211,37.79999923706055,0,0,0,0
09-11 07:00,153.9,0.0,0.0,115.30000305175781,38.599998474121094,0,0,0,0
09-11 08:00,129.8,0.0,0.0,95.19999694824219,34.599998474121094,0,0,0,0
09-11 09:00,127.9,0.0,0.0,94.5999984741211,33.29999923706055,0,0,0,0
09-11 10:00,116.4,0.0,0.0,90.5999984741211,25.799999237060547,0,0,0,0
09-11 11:00,112.1,0.0,0.0,89.0,23.100000381469727,0,0,0,0
09-11 12:00,94.5,0.0,0.0,74.9000015258789,19.600000381469727,0,0,0,0
09-11 13:00,100.9,0.0,0.0,80.4000015258789,20.5,0,0,0,0
09-11 14:00,98.1,0.0,0.0,78.80000305175781,19.299999237060547,0,0,0,0
09-11 15:00,98.2,0.0,0.0,79.5999984741211,18.600000381469727,0,0,0,0
09-11 16:00,111.1,0.0,0.0,92.5999984741211,18.5,0,0,0,0
09-11 17:00,111.1,0.0,0.0,94.5999984741211,16.399999618530273,0,0,0,0
09-11 18:00,112.0,0.0,0.0,97.4000015258789,14.600000381469727,0,0,0,0
09-11 19:00,116.2,0.0,0.0,102.69999694824219,13.5,0,0,0,0
09-11 20:00,114.0,0.0,0.0,102.19999694824219,11.800000190734863,0,0,0,0
09-11 21:00,111.8,0.0,0.0,103.9000015258789,7.900000095367432,0,0,0,0
09-11 22:00,64.3,0.0,0.0,58.400001525878906,5.900000095367432,0,0,0,0
09-11 23:00,57.9,0.0,0.0,52.599998474121094,5.300000190734863,0,0,0,0
10-11 00:00,56.4,0.0,0.0,52.20000076293945,4.199999809265137,0,0,0,0
10-11 01:00,59.0,0.0,0.0,55.79999923706055,3.200000047683716,0,0,0,0
10-11 02:00,57.1,0.0,0.0,55.400001525878906,1.7000000476837158,0,0,0,0
10-11 03:00,58.7,0.0,0.0,57.0,1.7000000476837158,0,0,0,0
10-11 04:00,72.4,0.0,0.0,69.0,3.4000000953674316,0,0,0,0
10-11 05:00,102.4,0.0,0.0,92.5999984741211,9.800000190734863,0,0,0,0
10-11 06:00,165.4,0.0,0.0,136.10000610351562,29.299999237060547,0,0,0,0
10-11 07:00,155.1,0.0,0.0,125.69999694824219,29.399999618530273,0,0,0,0
10-11 08:00,136.9,0.0,0.0,109.19999694824219,27.700000762939453,0,0,0,0
10-11 09:00,130.8,0.0,0.0,103.5,27.299999237060547,0,0,0,0
10-11 10:00,117.9,0.0,0.0,97.0,20.799999237060547,0,0,0,0
10-11 11:00,103.5,0.0,0.0,85.5,18.0,0,0,0,0
10-11 12:00,98.5,0.0,0.0,82.0999984741211,16.399999618530273,0,0,0,0
10-11 13:00,102.5,0.0,0.0,86.30000305175781,16.200000762939453,0,0,0,0
10-11 14:00,100.5,0.0,0.0,85.30000305175781,15.199999809265137,0,0,0,0
10-11 15:00,94.3,0.0,0.0,80.4000015258789,13.899999618530273,0,0,0,0
10-11 16:00,104.6,0.0,0.0,89.9000015258789,14.699999809265137,0,0,0,0
10-11 17:00,112.3,0.0,0.0,99.5,12.800000190734863,0,0,0,0
10-11 18:00,112.0,0.0,0.0,100.5,11.5,0,0,0,0
10-11 19:00,118.1,0.0,0.0,107.5,10.600000381469727,0,0,0,0
10-11 20:00,123.2,0.0,0.0,113.69999694824219,9.5,0,0,0,0
10-11 21:00,124.0,0.0,0.0,117.19999694824219,6.800000190734863,0,0,0,0
10-11 22:00,81.0,0.0,0.0,76.0999984741211,4.900000095367432,0,0,0,0
10-11 23:00,74.9,0.0,0.0,70.19999694824219,4.699999809265137,0,0,0,0
11-11 00:00,71.7,0.0,0.0,67.5,4.199999809265137,0,0,0,0
11-11 01:00,75.7,0.0,0.0,72.4000015258789,3.299999952316284,0,0,0,0
11-11 02:00,79.7,0.0,0.0,77.80000305175781,1.899999976158142,0,0,0,0
11-11 03:00,80.2,0.0,0.0,78.30000305175781,1.899999976158142,0,0,0,0
11-11 04:00,93.9,0.0,0.0,90.5999984741211,3.299999952316284,0,0,0,0
11-11 05:00,134.0,0.0,0.0,123.69999694824219,10.300000190734863,0,0,0,0
11-11 06:00,189.0,0.0,0.0,159.8000030517578,29.200000762939453,0,0,0,0
11-11 07:00,195.6,0.0,0.0,164.5,31.100000381469727,0,0,0,0
11-11 08:00,157.3,0.0,0.0,129.6999969482422,27.600000381469727,0,0,0,0
11-11 09:00,153.2,0.0,0.0,127.0,26.200000762939453,0,0,0,0
11-11 10:00,131.0,0.0,0.0,110.19999694824219,20.799999237060547,0,0,0,0
11-11 11:00,112.5,0.0,0.0,95.0999984741211,17.399999618530273,0,0,0,0
11-11 12:00,102.0,0.0,0.0,84.80000305175781,17.200000762939453,0,0,0,0
11-11 13:00,101.8,0.0,0.0,85.5,16.299999237060547,0,0,0,0
11-11 14:00,96.8,0.0,0.0,81.9000015258789,14.899999618530273,0,0,0,0
